"brand","Марка","Классификация","Применение","Зарубежные_аналоги","Дополнение","Заменитель"
"15Х23Н18Л","15Х23Н18Л","Сталь для отливок легированная с особыми свойствами","для коррозионно-стойких деталей, не трубующих высокой механической прочности, жаропрочных до 900 град.С; сталь аустенитного класса","Известны","",""
"15Х25ТЛ","15Х25ТЛ","Сталь для отливок легированная с особыми свойствами","для деталей, не подвергающихся действиям постоянных и переменных нагрузок (аппаратуры для дымящейся азотной или фосфорной кислот); многих деталей химического машиностроения, в том числе работающих в условиях контакта с мочевиной; печной арматуры, плит и др.; сталь ферритного класса","Нет данных","Сталь коррозионностойкая, жаростойкая при температуре до 1100 °С, обладает удовлетворительной сопротивляемостью межкристаллитной коррозии",""
"15ХЛ","15ХЛ","Сталь для отливок легированная","для изготовления отливок различного промышленного назначения","Нет данных","",""
"16Х18Н12С4ТЮЛ","16Х18Н12С4ТЮЛ","Сталь для отливок легированная с особыми свойствами","для сварных изделий, работающих в агрессивных средах, в частности концентрированной азотной кислоте при температуре до 105 град.С.; сталь коррозионностойкая аустенитно - ферритного класса","Нет данных","",""
"18Х25Н19СЛ","18Х25Н19СЛ","Сталь для отливок легированная с особыми свойствами","для деталей паровых и газовых турбин, котельных установок, лопаток и венцов компрессоров и сопловых аппаратов турбин и других деталей, работающих при высоких температурах; сталь аустенитного класса","Известны","Сталь коррозионностойкая, кислотоупорная, жаростойкая",""
"20Г1ФЛ","20Г1ФЛ","Сталь для отливок легированная","рамы, балки, корпуса и др. детали вагонов","Известны","",""
"20ГЛ","20ГЛ","Сталь для отливок легированная","диски, звездочки зубчатые венцы и др. детали, к которым предъявляются требования по прочности и вязкости, работающие под действием статических и динамических нагрузок","Известны","",""
"20ГНМФЛ","20ГНМФЛ","Сталь для отливок легированная","отливки, предназначенные для эксплуатации в условиях низких температур и высоких скоростей нагружения - сварные конструкции больших сечений, бандажи цементных печей","Нет данных","",""
"20ГНМЮЛ","20ГНМЮЛ","Сталь для отливок легированная","для изготовления отливок различного промышленного назначения","Нет данных","",""
"20ГСЛ","20ГСЛ","Сталь для отливок легированная","корпусные детали гидротурбин, работающие при температуре до 450 град.","Известны","",""
"20ДХЛ","20ДХЛ","Сталь для отливок легированная","ответственные нагруженные детали, к которым предъявляются требования высокой прочности и достаточной вязкости, работающие под действием статических и динамических нагрузок","Нет данных","",""
"20Л","20Л","Сталь для отливок нелегированная","шаботы, арматура, фасонные отливки деталей общего машиностроения, изготовляемые методом выплавляемых моделей, детали сварно-литых конструкций и другие детали, работающие при температуре от —40 до 450 °С.","Известны","","25Л, 30Л"
"20ФЛ","20ФЛ","Сталь для отливок легированная","крупногабаритные детали грузовых вагонов: корпус автосцепки, тяговый хомут, надрессорная балка и боковая рама тележки.","Известны","",""
"20ФТЛ","20ФТЛ","Сталь для отливок легированная с особыми свойствами","для ответственных литых деталей автосцепного устройства и тележек грузовых вагонов.","Нет данных","Сталь хладостойкая.",""
"20Х12ВНМФЛ","20Х12ВНМФЛ","Сталь для отливок легированная с особыми свойствами","литые детали турбин (цилиндры, сопла, диафрагмы и арматура) с рабочей температурой до 600 град.С ; сталь мартенситного класса","Известны","Сталь коррозионностойкая, жаропрочная до 650 °С",""
"20Х13Л","20Х13Л","Сталь для отливок легированная с особыми свойствами","для изготовления отливок деталей, подвергающихся ударным нагрузкам (турбинных лопаток, клапанов гидравлических прессов, арматуры крекинг-установок, сегментов сопел, форм для стекла, рам садочных окон, предметов домашнего обихода и др.), а также изделий, подвергающихся действию относительно слабых агрессивных сред (атмосферных осадков, влажного пара, водных растворов солей органических кислот при комнатной температуре); Сталь мартенситного класса","Известны","Сталь 20Х13Л несколько менее коррозионностойкая в атмосферных условиях по сравнению со сталью марки 15Х13Л.",""
"20Х20Н14С2Л","20Х20Н14С2Л","Сталь для отливок легированная с особыми свойствами","печные конвейеры, ящики для цементации и другие детали, работающие при высоких температурах в нагруженном состоянии. Сталь жаростойкая до 1000—1050 °С, устойчива в науглероживающей среде, аустенито-ферритного класса.","Известны","",""
"20Х21Н46В8Л","20Х21Н46В8Л","Сталь для отливок легированная с особыми свойствами","для деталей двигателей авиационной промышленности ( рабочие и сопловые лопатки газовых турбин и др.); сталь аустенитного класса.","Нет данных","Сталь жаростойкая при температуре до +1000 °С, жаропрочная при температуре до +800 °С.",""
"20Х21Н46В8РЛ","20Х21Н46В8РЛ","Сталь для отливок легированная с особыми свойствами","детали двигателей авиационной промышленности; сталь аустенитного класса","Нет данных","",""
"20Х25Н19С2Л","20Х25Н19С2Л","Сталь для отливок легированная с особыми свойствами","детали, работающие при высоких температурах в сильно нагруженном состоянии: реторты для отжига, части печей и ящики для цементации. Сталь жаростойкая при температуре до 1100 °С, жаропрочная, аустенитного класса.","Известны","",""
"20Х5МЛ","20Х5МЛ","Сталь для отливок легированная с особыми свойствами","детали арматуры нефтеперерабатывающих установок, печные двойники, корпуса насосов и другие детали, работающие в нефтяных средах под давлением при температуре до 550 град.С; сталь мартенситного класса","Известны","Сталь коррозионностойкая, жаропрочная и жаростойкая в горячих нефтяных средах, содержащих сернистые соединения. Жаростойкость до +600 °С.",""
"20Х5ТЛ","20Х5ТЛ","Сталь для отливок легированная с особыми свойствами","для деталей, коррозионно-стойких в горячих нефтяных средах, содержащих сернистые соединения; жаростойких до 450 град.С (арматура нефтеперерабатывающих установок)","Нет данных","",""
"20Х8ВЛ","20Х8ВЛ","Сталь для отливок легированная с особыми свойствами","детали арматуры нефтеперерабатывающих установок, печные двойники, корпуса насосов и другие детали, работающие в условиях сильно сернистых нефтяных сред под давлением при температуре до 575 град.С; сталь мартенситного класса","Нет данных","Жаростойкая в более агрессивных сернистых средах по сравнению со сталью марки 20Х5МЛ, жаростойкость до +600 °С.",""
"20ХГСНДМЛ","20ХГСНДМЛ","Сталь для отливок легированная","кронштейны и другие детали, к которым предъявляются требования высокой прочности и достаточной вязкости.","Нет данных","",""
"20ХМЛ","20ХМЛ","Сталь для отливок легированная","шестерни, крестовины, втулки, зубчатые колеса, цилиндры, обоймы и другие корпусные детали, работающие длительное время при температуре до 500 °С.","Нет данных","",""
"20ХМФЛ","20ХМФЛ","Сталь для отливок легированная","детали арматуры, корпусные детали, цилиндры, работающие при температуре до 540 град.","Известны","",""
"23ХГС2МФЛ","23ХГС2МФЛ","Сталь для отливок легированная","детали ответственного назначения со стенкой толщиной до 30 мм, работающие в условиях циклических и ударных нагрузок и в условиях ударно-абразивного износа","Нет данных","",""
"25ГСЛ","25ГСЛ","Сталь для отливок легированная","лопасти гидротурбин, зубчатые венцы и колеса, втулки, сектора, колонны, детали сварно-литых конструкций с большим объемом сварки.","Нет данных","",""
"25Л","25Л","Сталь для отливок нелегированная","станины прокатных станов, шкивы, траверсы, поршни, буксы, крышки цилиндров, плиты настильные, рамы рольгангов и тележек, мульды, корпусы подшипников, детали сварно-литых конструкций и другие детали, работающие при температуре от —40 до 450 °С под давлением.","Известны","","20Л, 30Л"
