"brand","hardness"
"20ГНМФЛ","Твердость 20ГНМФЛ после нормализации и отпуска ,/HB 10 -1 = 202 МПа;Твердость 20ГНМФЛ после закалки и отпуска ,/HB 10 -1 = 217 МПа"
"20ГНМЮЛ",""
"20ГСЛ",""
"20ДХЛ","Твердость 20ДХЛ ,/HB 10 -1 = 143 - 187 МПа;Твердость 20ДХЛ после закалки и отпуска ,/HB 10 -1 = 187 - 240 МПа"
"20Л",""
"20ФЛ",""
"20ФТЛ",""
"20Х12ВНМФЛ",""
"20Х13Л",""
"20Х20Н14С2Л",""
"20Х21Н46В8Л",""
"20Х21Н46В8РЛ",""
"20Х25Н19С2Л",""
"20Х5МЛ",""
"20Х5ТЛ",""
"20Х8ВЛ",""
"20ХГСНДМЛ","Твердость 20ХГСНДМЛ ,/HB 10 -1 = 207 - 269 МПа"
"20ХМЛ","Твердость 20ХМЛ после нормализации и отпуска ,/HB 10 -1 = 149 - 229 МПа"
"20ХМФЛ",""
"23ХГС2МФЛ",""
"25ГСЛ","Твердость 25ГСЛ после закалки ,/HB 10 -1 = 207 МПа;Твердость 25ГСЛ после нормализации и отпуска ,/HB 10 -1 = 123 - 149 МПа"
"25Л","Твердость 25Л ,/HB 10 -1 = 124 - 207 МПа"
"25Х2Г2ФЛ","Твердость 25Х2Г2ФЛ ,/HB 10 -1 = 402 - 474 МПа"
"25Х2ГНМФЛ",""
"25Х2НМЛ",""
"25ХГЛ",""
"27Х5ГСМЛ",""
"27ХГСНМДТЛ",""
"27ХН2МФЛ",""
"30ГЛ",""
"30ГСЛ","Твердость 30ГСЛ ,/HB 10 -1 = 163 - 229 МПа"
"30Л","Твердость 30Л ,/HB 10 -1 = 131 - 217 МПа"
"30Х3С3ГМЛ",""
"30ХГ1",""
"30ХГ2СТЛ",""
"30ХГСФЛ",""
"30ХЛ",""
"30ХМЛ",""
"31Х19Н9МВБТЛ",""
"32Х06Л",""
"35ГЛ",""
"35Л","Твердость 35Л ,/HB 10 -1 = 137 - 229 МПа"
"35НГМЛ","Твердость 35НГМЛ после закалки и отпуска ,/HB 10 -1 = 217 - 262 МПа"
"35Х18Н24С2Л",""
"35Х23Н7СЛ",""
"35ХГЛ",""
"35ХГСЛ","Твердость 35ХГСЛ ,/HB 10 -1 = 163 - 240 МПа;Твердость 35ХГСЛ после закалки и отпуска ,/HB 10 -1 = 217 - 269 МПа"
"35ХГФЛ",""
"35ХМЛ","Твердость 35ХМЛ ,/HB 10 -1 = 163 - 225 МПа;Твердость 35ХМЛ после закалки и отпуска ,/HB 10 -1 = 206 - 255 МПа"
"35ХМФЛ",""
"35ХН2МЛ","Твердость 35ХН2МЛ после закалки и отпуска ,/HB 10 -1 = 229 - 285 МПа"
"35ХНЛ","Твердость 35ХНЛ после закалки и отпуска ,/HB 10 -1 = 207 - 269 МПа"
"40Г1",""
"40ГТЛ",""
"40Л","Твердость 40Л ,/HB 10 -1 = 146 - 173 МПа"
"40Х24Н12СЛ",""
"40Х9С2Л",""
"40ХЛ","Твердость 40ХЛ ,/HB 10 -1 = 196 - 229 МПа"
"40ХМЛ",""
"40ХН2Л",""
"40ХНЛ",""
"40ХФЛ",""
"45ГЛ",""
"45Л","Твердость 45Л ,/HB 10 -1 = 143 - 241 МПа"
"45ФЛ","Твердость 45ФЛ ,/HB 10 -1 = 170 - 229 МПа"
"45Х17Г13Н3ЮЛ",""
"50Л","Твердость 50Л ,/HB 10 -1 = 159 - 240 МПа"
"50ХГЛ",""
"513Л",""
"55Л","Твердость 55Л ,/HB 10 -1 = 159 - 255 МПа"
"55СЛ",""
"55Х18Г14С2ТЛ",""
"5МФРЛ",""
"5ФЛ",""
"60ХГЛ",""
"70ГЛ",""
"70Х2ГЛ",""
"75ХНМФЛ",""
"80ГСЛ",""
"85Х4М5Ф2В6Л",""
"90Х4М4Ф2В6Л",""
"ВКЛ-1",""
"ВНЛ-1",""
"ВНЛ-2",""
"ВНЛ-3",""
"ВНЛ-4",""
"Р6М4Ф2Л",""
"Р6М5Л",""
"Х18Н9БЛ",""
"ЭИ268Л",""
"ЭИ654Л",""
"ЭИ736Л",""
"ЭИ961Л",""
"10Х12НДЛ",""
"20ХГСФЛ",""
"30ХГФРЛ","Твердость 30ХГФРЛ после закалки и отпуска ,/HB 10 -1 = 196 - 255 МПа"
"30ХНМЛ","Твердость 30ХНМЛ ,/HB 10 -1 = 206 - 255 МПа;Твердость 30ХНМЛ после закалки и отпуска ,/HB 10 -1 = 217 - 269 МПа"
"05Х12Н6Д2МФСГТ","Твердость 05Х12Н6Д2МФСГТ термообработанного , ГОСТ 5950-2000/HB 10 -1 = 293 МПа"
"11М5Ф",""
"11Р3АМ3Ф2","Твердость 11Р3АМ3Ф2 после отжига , ГОСТ 19265-73/HB 10 -1 = 255 МПа"
"11Х","Твердость 11ХФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"11Х4В2МФ3С2","Твердость 11Х4В2МФ3С2 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"11ХФ","Твердость 11ХФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"120Х","Твердость 120Х после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"12Х1","Твердость 12Х1 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"13Х","Твердость 13Х после отжига , ГОСТ 5950-2000/HB 10 -1 = 248 МПа"
"27Х2Н2М1Ф",""
"2Х6В8М2К8","Твердость 2Х6В8М2К8 после высокого отпуска ,/HB 10 -1 = 250 МПа"
"3И2","Твердость 3И2 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"3Х2В8Ф","Твердость 3Х2В8Ф после отжига ,/HB 10 -1 = 241 МПа"
"3Х2МНФ",""
"3Х2Н2МВФ",""
"3Х3М3Ф","Твердость 3Х3М3Ф термообработанного , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"40Х5МФ",""
"40ХСМФ","Твердость 40ХСМФ термообработанного , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"45ХНМ","Твердость 45ХНМ нормализованного ,/HB 10 -1 = 197 - 248 МПа;Твердость 45ХНМ после закалки и отпуска ,/HB 10 -1 = 197 - 262 МПа"
"4Х2В5МФ","Твердость 4Х2В5МФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4Х2НМФ","Твердость 4Х2НМФ нормализованного ,/HB 10 -1 = 321 - 364 МПа"
"4Х3ВМФ","Твердость 4Х3ВМФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4Х4ВМФС","Твердость 4Х4ВМФС термообработанного , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4Х5В2ФС","Твердость 4Х5В2ФС после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4Х5МФ1С","Твердость 4Х5МФ1С после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4Х5МФС","Твердость 4Х5МФС после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4ХВ2С","Твердость 4ХВ2С после отжига ,/HB 10 -1 = 229 МПа"
"4ХМНФС",""
"4ХМФС","Твердость 4ХМФС термообработанного , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"4ХС","Твердость 4ХС после отжига , ГОСТ 5950-2000/HB 10 -1 = 217 МПа"
"55Х","Твердость 55Х после закалки и отпуска ,/HB 10 -1 = 212 - 248 МПа"
"55Х6В3СМФ","Твердость 55Х6В3СМФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"55Х7ВСМФ","Твердость 55Х7ВСМФ , Полоса горячекатан./HB 10 -1 = 241 МПа"
"5Х2МНФ","Твердость 5Х2МНФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"5Х3В3МФС","Твердость 5Х3В3МФС после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 - 241 МПа"
"5ХВ2С","Твердость 5ХВ2С после отжига ,/HB 10 -1 = 229 - 255 МПа"
"5ХВ2СФ","Твердость 5ХВ2СФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"5ХГМ","Твердость 5ХГМ после отжига ,/HB 10 -1 = 241 МПа"
"5ХНВ","Твердость 5ХНВ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"5ХНВС","Твердость 5ХНВС после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"5ХНМ","Твердость 5ХНМ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"60Х2СМФ",""
"60ХГ","Твердость 60ХГ после нормализации и отпуска ,/HB 10 -1 = 229 - 285 МПа;Твердость 60ХГ после закалки и отпуска ,/HB 10 -1 = 255 - 302 МПа"
"60ХН","Твердость 60ХН после закалки и отпуска ,/HB 10 -1 = 255 - 302 МПа;Твердость 60ХН нормализованного ,/HB 10 -1 = 229 - 285 МПа"
"60ХСМФ",""
"6Х3МФС","Твердость 6Х3МФС после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"6Х4М2ФС","Твердость 6Х4М2ФС после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"6Х6В3МФС","Твердость 6Х6В3МФС после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"6ХВ2С","Твердость 6ХВ2С термообработанного , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"6ХВГ","Твердость 6ХВГ после отжига , ГОСТ 5950-2000/HB 10 -1 = 217 МПа"
"6ХС","Твердость 6ХС после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"75ХМ",""
"75ХМФ","Твердость 75ХМФ после нормализации и отпуска ,/HB 10 -1 = 241 - 285 МПа;Твердость 75ХМФ после закалки и отпуска ,/HB 10 -1 = 352 - 429 МПа"
"75ХСМФ",""
"7Х2СМФ",""
"7Х3","Твердость 7Х3 после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"7ХГ2ВМ","Твердость 7ХГ2ВМ после отжига ,/HB 10 -1 = 255 МПа"
"7ХГ2ВМФ","Твердость 7ХГ2ВМФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"7ХФ","Твердость 7ХФ после отжига ,/HB 10 -1 = 229 МПа"
"85Х6НФТ","Твердость 85Х6НФТ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"8Х3","Твердость 8Х3 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"8Х4В2МФС2","Твердость 8Х4В2МФС2 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"8Х4В3М3Ф2","Твердость 8Х4В3М3Ф2 после отжига ,/HB 10 -1 = 255 МПа"
"8Х6НФТ","Твердость 8Х6НФТ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"8ХФ","Твердость 8ХФ термообработанного , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"90ХМФ",""
"90ХФ","Твердость 90ХФ после отжига , ГОСТ 5950/HB 10 -1 = 241 МПа"
"9Г2Ф","Твердость 9Г2Ф после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"9Х1","Твердость 9Х1 после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"9Х2",""
"9Х2МФ",""
"9Х4М3Ф2АГСТ",""
"9Х5ВФ","Твердость 9Х5ВФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"9ХВГ","Твердость 9ХВГ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"9ХС","Твердость 9ХС после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"9ХФ","Твердость 9ХФ термообработанного , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"9ХФМ",""
"А75",""
"АСУ10Е",""
"АУ10Е",""
"В2Ф","Твердость В2Ф термообработанного , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"ДИ22","Твердость ДИ22 термообработанного , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ДИ23","Твердость ДИ23 после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 - 241 МПа"
"ДИ32","Твердость ДИ32 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"ДИ37","Твердость ДИ37 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"ДИ55","Твердость ДИ55 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"ДИ80","Твердость ДИ80 термообработанного , ГОСТ 5950-2000/HB 10 -1 = 293 МПа"
"ИХ","Твердость ИХ после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"Р10Ф5К5","Твердость Р10Ф5К5 после отжига ,/HB 10 -1 = 285 МПа"
"Р12","Твердость Р12 после отжига ,/HB 10 -1 = 255 МПа"
"Р12Ф3","Твердость Р12Ф3 после отжига , ГОСТ 19265-73/HB 10 -1 = 269 МПа"
"Р14Ф4","Твердость Р14Ф4 после отжига ,/HB 10 -1 = 269 МПа"
"Р18","Твердость Р18 после отжига , ГОСТ 19265-73/HB 10 -1 = 255 МПа"
"Р18К5Ф2","Твердость Р18К5Ф2 после отжига , ГОСТ 19265-73/HB 10 -1 = 285 МПа"
"Р18Ф2","Твердость Р18Ф2 после отжига ,/HB 10 -1 = 269 МПа"
"Р18Ф2К5","Твердость Р18Ф2К5 после отжига ,/HB 10 -1 = 285 МПа"
"Р2АМ9К5","Твердость Р2АМ9К5 после отжига , ГОСТ 19265-73/HB 10 -1 = 285 МПа"
"Р2М5",""
"Р6АМ5",""
"Р6АМ5Ф3",""
"Р6М3","Твердость Р6М3 после отжига ,/HB 10 -1 = 255 МПа"
"Р6М5","Твердость Р6М5 после отжига , ГОСТ 19265-73/HB 10 -1 = 255 МПа"
"Р6М5К5","Твердость Р6М5К5 после отжига , ГОСТ 19265-73/HB 10 -1 = 269 МПа"
"Р6М5Ф3","Твердость Р6М5Ф3 после отжига , ГОСТ 19265-73/HB 10 -1 = 269 МПа"
"Р9","Твердость Р9 после отжига ,/HB 10 -1 = 255 МПа"
"Р9К10","Твердость Р9К10 после отжига ,/HB 10 -1 = 269 МПа"
"Р9К5","Твердость Р9К5 после отжига , ГОСТ 19265-73/HB 10 -1 = 269 МПа"
"Р9М4К8","Твердость Р9М4К8 после отжига , ГОСТ 19265-73/HB 10 -1 = 285 МПа"
"Р9Ф5","Твердость Р9Ф5 после отжига ,/HB 10 -1 = 269 МПа"
"У10","Твердость У10 после отжига , ГОСТ 1435-99/HB 10 -1 = 197 МПа"
"У10А","Твердость У10А после отжига , ГОСТ 1435-99/HB 10 -1 = 197 МПа"
"У11","Твердость У11 после отжига ,/HB 10 -1 = 207 МПа"
"У11А","Твердость У11А после отжига ,/HB 10 -1 = 207 МПа"
"У12","Твердость У12 после отжига , ГОСТ 1435-99/HB 10 -1 = 217 МПа"
"У12А","Твердость У12А после отжига , ГОСТ 1435-99/HB 10 -1 = 217 МПа"
"У13","Твердость У13 после отжига ,/HB 10 -1 = 217 МПа"
"У13А","Твердость У13А после отжига ,/HB 10 -1 = 217 МПа"
"У7","Твердость У7 после отжига , ГОСТ 1435-99/HB 10 -1 = 187 МПа"
"У7А","Твердость У7А после отжига , ГОСТ 1435-99/HB 10 -1 = 187 МПа"
"У8","Твердость У8 после отжига , ГОСТ 1435-99/HB 10 -1 = 187 МПа"
"У8А","Твердость У8А после отжига , ГОСТ 1435-99/HB 10 -1 = 187 МПа"
"У8Г","Твердость У8Г , Поковки ГОСТ 1435-99/HB 10 -1 = 187 МПа"
"У8ГА","Твердость У8ГА после отжига , ГОСТ 1435-99/HB 10 -1 = 187 МПа"
"У9","Твердость У9 после отжига , ГОСТ 1435-99/HB 10 -1 = 192 МПа"
"У9А","Твердость У9А после отжига , ГОСТ 1435-99/HB 10 -1 = 192 МПа"
"Х","Твердость Х после отжига , ГОСТ 5950-2000/HB 10 -1 = 229 МПа"
"Х12","Твердость Х12 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"Х12ВМ","Твердость Х12ВМ после отжига ,/HB 10 -1 = 255 МПа"
"Х12ВМФ","Твердость Х12ВМФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"Х12М","Твердость Х12М после отжига ,/HB 10 -1 = 255 МПа"
"Х12МФ","Твердость Х12МФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"Х12Ф1","Твердость Х12Ф1 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"Х6ВФ","Твердость Х6ВФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"Х6Ф4М","Твердость Х6Ф4М после отжига ,/HB 10 -1 = 241 МПа"
"ХВ4","Твердость ХВ4 после отжига ,/HB 10 -1 = 285 МПа"
"ХВ4Ф","Твердость ХВ4Ф после отжига ,/HB 10 -1 = 255 МПа"
"ХВГ","Твердость ХВГ после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"ХВСГ","Твердость ХВСГ после отжига ,/HB 10 -1 = 241 МПа"
"ХВСГФ","Твердость ХВСГФ после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ХГС","Твердость ХГС после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ЭИ958","Твердость ЭИ958 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ЭИ959","Твердость ЭИ959 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ЭП430","Твердость ЭП430 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ЭП569","Твердость ЭП569 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"ЭП572","Твердость ЭП572 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"ЭП761","Твердость ЭП761 после отжига , ГОСТ 5950-2000/HB 10 -1 = 255 МПа"
"ЭП788","Твердость ЭП788 после отжига , ГОСТ 5950-2000/HB 10 -1 = 241 МПа"
"000Х17Н13М2","Твердость 000Х17Н13М2 , Поковки ГОСТ 25054-81/HB 10 -1 = 179 МПа"
"03Х13Н9Д2ТМ",""
"03Х17Н14М3","Твердость 03Х17Н14М3 , Поковки ГОСТ 25054-81/HB 10 -1 = 179 МПа"
"03Х19Г10Н7М2",""
"03Х20Н16АГ6",""
"05Г4МНФ","Твердость 05Г4МНФ , Поковки/HB 10 -1 = 207 - 320 МПа"
"05кп","Твердость 05кп после отжига ,/HB 10 -1 = 111 - 131 МПа"
"06Г2СЮ",""
"06Х1",""
"06ХГСЮ",""
"06ХФ",""
"07ГФБ-1",""
"07ГФБ",""
"07Х21Г7АН5",""
"08","Твердость 08 горячекатанного , ГОСТ 1050-88/HB 10 -1 = 131 МПа;Твердость 08 калиброванного нагартованного , ГОСТ 1050-88/HB 10 -1 = 179 МПа;Твердость 08 , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 109 МПа;Твердость 08 , Прокат калиброван. отожжен. ГОСТ 1050-88/HB 10 -1 = 131 МПа"
"08Г2С",""
"08ГБЮ",""
"08ГДНФ",""
"08кп","Твердость 08кп , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 100 МПа;Твердость 08кп , Прокат горячекатан. ГОСТ 10702-78/HB 10 -1 = 115 МПа;Твердость 08кп , Прокат калиброван. ГОСТ 10702-78/HB 10 -1 = 131 МПа"
"08пс","Твердость 08пс , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 109 МПа;Твердость 08пс , Пруток горячекатан. ГОСТ 10702-78/HB 10 -1 = 115 МПа;Твердость 08пс , Прокат калиброван. ГОСТ 10702-78/HB 10 -1 = 143 МПа;Твердость 08пс после отжига , Лист толстый ГОСТ 1577-93/HB 10 -1 = 131 МПа"
"08Фкп",""
"08ХМФЧ",""
"08ХМФЧА",""
"08ХМФчЮА",""
"08ХМЧ",""
"08ХМЧА",""
"08Ю","Твердость 08Ю , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 118 МПа;Твердость 08Ю после отжига , Полоса ГОСТ 1577-93/HB 10 -1 = 131 МПа"
"08ЮА","Твердость 08ЮА , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 116 МПа"
"09Г2-1",""
"09Г2",""
"09Г2Д-1",""
"09Г2Д",""
"09Г2С-1",""
"09Г2С",""
"09Г2СД-1",""
"09Г2СД",""
"09Г2ФБ-1",""
"09Г2ФБ",""
"09ГБЮ",""
"09ГСФ",""
"09ГСФЮ",""
"09СФ",""
"09СФА",""
"0Н6",""
"0Н6А",""
"0Н9",""
"0Н9А",""
"10","Твердость 10 калиброванного нагартованного , ГОСТ 1050-88/HB 10 -1 = 187 МПа;Твердость 10 горячекатанного , ГОСТ 1050-88/HB 10 -1 = 143 МПа;Твердость 10 , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 117 МПа;Твердость 10 , Трубы ГОСТ 8731-87/HB 10 -1 = 137 МПа;Твердость 10 , Трубы горячедеформир. ГОСТ 550-75/HB 10 -1 = 137 МПа;Твердость 10 , Пруток горячекатан. ГОСТ 10702-78/HB 10 -1 = 115 МПа"
"10Г2","Твердость 10Г2 после отжига , ГОСТ 4543-71/HB 10 -1 = 197 МПа;Твердость 10Г2 , Трубы горячедеформир. ГОСТ 550-75/HB 10 -1 = 197 МПа"
"10Г2А",""
"10Г2Б-1",""
"10Г2Б",""
"10Г2БД-1",""
"10Г2БД",""
"10Г2С1",""
"10Г2С1Д",""
"10Г2СБ",""
"10Г2СФБ",""
"10Г2ФБ",""
"10Г2ФБЮ-1",""
"10Г2ФБЮ",""
"10ГС2",""
"10ГТ",""
"10кп","Твердость 10кп калиброванного нагартованного , ГОСТ 10702-78/HB 10 -1 = 179 МПа;Твердость 10кп , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 114 МПа;Твердость 10кп после отжига , Лист толстый ГОСТ 1577-93/HB 10 -1 = 137 МПа"
"10пс","Твердость 10пс , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 117 МПа;Твердость 10пс , Пруток горячекатан. ГОСТ 10702-78/HB 10 -1 = 115 МПа;Твердость 10пс после отжига , Лист толстый отожжен. ГОСТ 1577-93/HB 10 -1 = 137 МПа"
"10Х14Г14Н4Т",""
"10Х2ГНМ",""
"10Х2М-ВД",""
"10Х2М",""
"10Х2М1",""
"10ХГСН1Д",""
"10ХНДП",""
"10ХСНД-Ш",""
"10ХСНД",""
"10ЮА","Твердость 10ЮА , Лист термообработ. ГОСТ 4041-71/HB 10 -1 = 117 МПа"
"11кп",""
"11Х18М-ШД",""
"11ЮА",""
"12Г2",""
"12Г2А",""
"12Г2Б-1",""
"12Г2Б",""
"12Г2С-1",""
"12Г2С",""
"12Г2СБ",""
"12Г2СД-1",""
"12Г2СД",""
"12Г2СМФ",""
"12Г2Ф-1",""
"12Г2Ф",""
"12Г2ФД-1",""
"12Г2ФД",""
"12ГН2МФАЮ",""
"12ГС-1",""
"12ГС",""
"12ГСБ",""
"12ГСБЮ-1",""
"12ГСБЮ",""
"12ГФ-Ш","Твердость 12ГФ-Ш , Трубы/HB 10 -1 = 200 МПа"
"12ГФ","Твердость 12ГФ-Ш , Трубы/HB 10 -1 = 200 МПа"
"12К",""
"12Х18Н10Т","Твердость 12Х18Н10Т , Поковки ГОСТ 25054-81/HB 10 -1 = 179 МПа"
"12Х2М-ВД",""
"12Х2М",""
"12Х2Н4А","Твердость 12Х2Н4А после отжига , ГОСТ 4543-71/HB 10 -1 = 269 МПа"
"12Х2НВФА","Твердость 12Х2НВФА нормализованного , Лист толстый ГОСТ 11269-76/HB 10 -1 = 156 - 217 МПа"
"12Х2НВФМА","Твердость 12Х2НВФМА нормализованного , Лист толстый ГОСТ 11269-76/HB 10 -1 = 156 - 217 МПа"
"12Х2НМ1ФА","Твердость 12Х2НМ1ФА нормализованного , Лист толстый ГОСТ 11269-76/HB 10 -1 = 156 - 217 МПа"
"12Х2НМФА","Твердость 12Х2НМФА нормализованного , Лист толстый ГОСТ 11269-76/HB 10 -1 = 156 - 217 МПа"
"12Х8","Твердость 12Х8 , Трубы холоднодеформир. ГОСТ 550-75/HB 10 -1 = 170 МПа"
"12ХГН2МФБАЮ",""
"12ХН",""
"12ХН2","Твердость 12ХН2 после отжига , ГОСТ 4543-71/HB 10 -1 = 207 МПа"
"12ХН2А",""
"12ХН2МДФ",""
"12ХН3А","Твердость 12ХН3А после отжига , ГОСТ 4543-71/HB 10 -1 = 217 МПа"
"12ХНВФА",""
"13Г1С-У",""
"13Г1С",""
"13Г1СБ-У",""
"13Г1СБ",""
"13Г2АФ",""
"13ГС-У",""
"13ГС",""
"13Н2ХА",""
"13Н5А",""
"13ХФА",""
"13ХФЮ",""
"14Г2-1",""
"14Г2",""
"14Г2АФ-1",""
"14Г2АФ",""
"14Г2АФД-1",""
"14Г2АФД",""
